Region,Name,Population
Eastern Africa,Ethiopia,62565000
Eastern Africa,Tanzania,33517000
Eastern Africa,Kenya,30080000
Eastern Africa,Uganda,21778000
Eastern Africa,Mozambique,19680000
Eastern Africa,Madagascar,15942000
Eastern Africa,Zimbabwe,11669000
Eastern Africa,Malawi,10925000
Eastern Africa,Somalia,10097000
Eastern Africa,Zambia,9169000
Eastern Africa,Rwanda,7733000
Eastern Africa,Burundi,6695000
Eastern Africa,Eritrea,3850000
