Name,Region,Population
Cameroon,Central Africa,15085000
Angola,Central Africa,12878000
Chad,Central Africa,7651000
Central African Republic,Central Africa,3615000
Congo,Central Africa,2943000
Gabon,Central Africa,1226000
Equatorial Guinea,Central Africa,453000
Sao Tome and Principe,Central Africa,147000
