Name
Lima
Santafé de Bogotá
Rio de Janeiro
Santiago de Chile
Buenos Aires
Salvador
Belo Horizonte
Fortaleza
Cali
Guayaquil
Caracas
Brasília
Medellín
Curitiba
Quito
Recife
Porto Alegre
Maracaíbo
La Matanza
Manaus
Montevideo
Barranquilla
Belém
Córdoba
Guarulhos
Goiânia
Campinas
Santa Cruz de la Sierra
Rosario
Barquisimeto
São Gonçalo
Nova Iguaçu
São Luís
Cartagena
Valencia
Maceió
Arequipa
La Paz
Duque de Caxias
São Bernardo do Campo
Teresina
Natal
Ciudad Guayana
Osasco
Trujillo
Campo Grande
Santo André
Lomas de Zamora
Cúcuta
João Pessoa
Quilmes
Jaboatão dos Guararapes
Asunción
Almirante Brown
El Alto
La Plata
Contagem
Chiclayo
Bucaramanga
São José dos Campos
Mar del Plata
Petare
Uberlândia
Cochabamba
Feira de Santana
Ribeirão Preto
San Miguel de Tucumán
Lanús
Sorocaba
Merlo
Niterói
Cuiabá
Juiz de Fora
Aracaju
Maracay
São João de Meriti
Londrina
Joinville
Belford Roxo
Callao
General San Martín
Santos
Ananindeua
Campos dos Goytacazes
Ibagué
Puente Alto
Pereira
Mauá
Salta
Iquitos
Santa Marta
Carapicuíba
Moreno
Olinda
Santa Fé
Avellaneda
Campina Grande
Tres de Febrero
São José do Rio Preto
Caxias do Sul
Morón
Moji das Cruzes
Manizales
Chimbote
Diadema
Bello
Pasto
Huancayo
Piura
Aparecida de Goiânia
Barcelona
Maturín
San Cristóbal
Piracicaba
Cariacica
Vila Velha
Florencio Varela
Pelotas
Bauru
Viña del Mar
Porto Velho
San Isidro
Serra
Betim
Ciudad Bolívar
Neiva
Tigre
Jundíaí
Soledad
Canoas
Valparaíso
Cumaná
Cusco
Malvinas Argentinas
Franca
Armenia
Vicente López
São Vicente
Maringá
Montes Claros
Anápolis
Florianópolis
Petrópolis
Talcahuano
Berazategui
Villavicencio
Soacha
Itaquaquecetuba
Vitória
Cuenca
Ponta Grossa
Valledupar
Rio Branco
Foz do Iguaçu
Corrientes
Macapá
Ilhéus
Georgetown
Vitória da Conquista
Antofagasta
Uberaba
San Miguel
Paulista
Montería
Limeira
Blumenau
Caruaru
San Bernardo
Santarém
Volta Redonda
Novo Hamburgo
Bahía Blanca
Caucaia
Santa Maria
Cascavel
Guarujá
Esteban Echeverría
Temuco
Ribeirão das Neves
Governador Valadares
Resistencia
Taubaté
Itagüí
Palmira
Mérida
Imperatriz
Buenaventura
Oruro
Gravataí
Embu
Floridablanca
José C. Paz
Cabimas
Pucallpa
Sincelejo
Barinas
Concepción
Turmero
Tacna
Mossoró
Várzea Grande
Rancagua
Petrolina
Machala
Barueri
Viamão
Baruta
Paraná
Godoy Cruz
Ipatinga
Santo Domingo de los Colorados
Posadas
Juazeiro
Popayán
Guaymallén
Juazeiro do Norte
Taboão da Serra
São José dos Pinhais
Magé
Suzano
Ica
Santiago del Estero
São Leopoldo
Arica
Marília
Puerto Cabello
Talca
São Carlos
Sumaré
Santa Ana de Coro
Presidente Prudente
Divinópolis
Sete Lagoas
Rio Grande
Itabuna
Jequié
Arapiraca
Los Teques
San Salvador de Jujuy
Sucre
Chillán
Barrancabermeja
Iquique
Colombo
Americana
Portoviejo
Alvorada
Araraquara
Itaboraí
Santa Bárbara d´Oeste
Nova Friburgo
Jacareí
Hurlingham
Ambato
Araçatuba
Barra Mansa
Praia Grande
Marabá
Criciúma
Neuquén
Punto Fijo
Boa Vista
Passo Fundo
Guarenas
Manta
Dourados
Santa Luzia
Rio Claro
Maracanaú
Guarapuava
Dos Quebradas
Acarigua
Los Angeles
Ituzaingó
Puerto La Cruz
Rondonópolis
São José
Cachoeiro de Itapemirim
Nilópolis
San Fernando
