Name,Population
Paris,2125246
Wien,1608144
Amsterdam,731200
Bruxelles [Brussel],133859
Bern,122700
Luxembourg [Luxemburg/Lëtzebuerg],80700
Vaduz,5043
Monaco-Ville,1234
